date,total_spend,food_spend,shopping_spend,weekend,cluster,anomaly,recommendation
2025-10-03,360,222,0,0,0,1,Spending is within your normal range.
2025-10-04,965,122,0,1,0,1,Spending is within your normal range.
2025-10-05,928,285,0,1,0,1,Spending is within your normal range.
2025-10-06,378,376,0,0,0,1,Spending is within your normal range.
2025-10-07,2109,227,1837,0,1,-1,⚠ High-risk spending detected. Consider delaying non-essential purchases.
2025-10-08,393,351,0,0,0,1,Spending is within your normal range.
2025-10-09,301,260,0,0,0,1,Spending is within your normal range.
2025-10-10,1916,314,1588,0,1,1,High spending day. Monitor your expenses carefully.
2025-10-11,2283,173,1313,1,1,-1,⚠ High-risk spending detected. Consider delaying non-essential purchases.
2025-10-12,303,143,0,1,0,1,Spending is within your normal range.
2025-10-13,1595,323,1259,0,1,1,High spending day. Monitor your expenses carefully.
2025-10-14,303,295,0,0,0,1,Spending is within your normal range.
2025-10-15,315,307,0,0,0,1,Spending is within your normal range.
2025-10-16,368,221,0,0,0,1,Spending is within your normal range.
2025-10-17,263,200,0,0,0,1,Spending is within your normal range.
2025-10-18,406,213,0,1,0,1,Spending is within your normal range.
2025-10-19,2012,299,1582,1,1,1,High spending day. Monitor your expenses carefully.
2025-10-20,271,233,0,0,0,1,Spending is within your normal range.
2025-10-21,264,164,0,0,0,1,Spending is within your normal range.
2025-10-22,532,388,0,0,0,1,Spending is within your normal range.
2025-10-23,2333,331,1964,0,1,-1,⚠ High-risk spending detected. Consider delaying non-essential purchases.
2025-10-24,289,248,0,0,0,1,Spending is within your normal range.
2025-10-25,992,381,0,1,0,1,Spending is within your normal range.
2025-10-26,504,113,0,1,0,1,Spending is within your normal range.
2025-10-27,439,333,0,0,0,1,Spending is within your normal range.
2025-10-28,437,393,0,0,0,1,Spending is within your normal range.
2025-10-29,2102,105,1929,0,1,-1,⚠ High-risk spending detected. Consider delaying non-essential purchases.
2025-10-30,514,381,0,0,0,1,Spending is within your normal range.
2025-10-31,442,295,0,0,0,1,Spending is within your normal range.
2025-11-01,1575,328,728,1,1,1,High spending day. Monitor your expenses carefully.
2025-11-02,2591,146,1758,1,1,-1,⚠ High-risk spending detected. Consider delaying non-essential purchases.
2025-11-03,381,361,0,0,0,1,Spending is within your normal range.
2025-11-04,270,225,0,0,0,1,Spending is within your normal range.
2025-11-05,325,309,0,0,0,1,Spending is within your normal range.
2025-11-06,285,233,0,0,0,1,Spending is within your normal range.
