date,category,amount,payment_mode,day_type
2025-10-03,Food,222,Card,Weekday
2025-10-03,Travel,138,UPI,Weekday
2025-10-04,Food,122,Card,Weekend
2025-10-04,Travel,138,Cash,Weekend
2025-10-04,Entertainment,705,Card,Weekend
2025-10-05,Food,285,Cash,Weekend
2025-10-05,Travel,8,Cash,Weekend
2025-10-05,Entertainment,635,UPI,Weekend
2025-10-06,Food,376,Cash,Weekday
2025-10-06,Travel,2,Card,Weekday
2025-10-07,Food,227,Card,Weekday
2025-10-07,Travel,45,UPI,Weekday
2025-10-07,Shopping,1837,Cash,Weekday
2025-10-08,Food,351,UPI,Weekday
2025-10-08,Travel,42,UPI,Weekday
2025-10-09,Food,260,UPI,Weekday
2025-10-09,Travel,41,Cash,Weekday
2025-10-10,Food,314,Card,Weekday
2025-10-10,Travel,14,Card,Weekday
2025-10-10,Shopping,1588,UPI,Weekday
2025-10-11,Food,173,UPI,Weekend
2025-10-11,Travel,62,Cash,Weekend
2025-10-11,Shopping,1313,Card,Weekend
2025-10-11,Entertainment,735,Card,Weekend
2025-10-12,Food,143,Card,Weekend
2025-10-12,Travel,15,UPI,Weekend
2025-10-12,Entertainment,145,Cash,Weekend
2025-10-13,Food,323,UPI,Weekday
2025-10-13,Travel,13,Cash,Weekday
2025-10-13,Shopping,1259,Cash,Weekday
2025-10-14,Food,295,Cash,Weekday
2025-10-14,Travel,8,UPI,Weekday
2025-10-15,Food,307,UPI,Weekday
2025-10-15,Travel,8,Cash,Weekday
2025-10-16,Food,221,UPI,Weekday
2025-10-16,Travel,147,UPI,Weekday
2025-10-17,Food,200,UPI,Weekday
2025-10-17,Travel,63,Card,Weekday
2025-10-18,Food,213,Cash,Weekend
2025-10-18,Travel,123,Cash,Weekend
2025-10-18,Entertainment,70,UPI,Weekend
2025-10-19,Food,299,UPI,Weekend
2025-10-19,Travel,19,Card,Weekend
2025-10-19,Shopping,1582,Card,Weekend
2025-10-19,Entertainment,112,UPI,Weekend
2025-10-20,Food,233,Card,Weekday
2025-10-20,Travel,38,UPI,Weekday
2025-10-21,Food,164,Cash,Weekday
2025-10-21,Travel,100,Card,Weekday
2025-10-22,Food,388,UPI,Weekday
2025-10-22,Travel,144,UPI,Weekday
2025-10-23,Food,331,Card,Weekday
2025-10-23,Travel,38,UPI,Weekday
2025-10-23,Shopping,1964,UPI,Weekday
2025-10-24,Food,248,UPI,Weekday
2025-10-24,Travel,41,UPI,Weekday
2025-10-25,Food,381,Card,Weekend
2025-10-25,Travel,60,UPI,Weekend
2025-10-25,Entertainment,551,UPI,Weekend
2025-10-26,Food,113,Card,Weekend
2025-10-26,Travel,128,Cash,Weekend
2025-10-26,Entertainment,263,UPI,Weekend
2025-10-27,Food,333,UPI,Weekday
2025-10-27,Travel,106,UPI,Weekday
2025-10-28,Food,393,UPI,Weekday
2025-10-28,Travel,44,UPI,Weekday
2025-10-29,Food,105,UPI,Weekday
2025-10-29,Travel,68,Cash,Weekday
2025-10-29,Shopping,1929,Cash,Weekday
2025-10-30,Food,381,UPI,Weekday
2025-10-30,Travel,133,Card,Weekday
2025-10-31,Food,295,Cash,Weekday
2025-10-31,Travel,147,Cash,Weekday
2025-11-01,Food,328,Card,Weekend
2025-11-01,Travel,91,Cash,Weekend
2025-11-01,Shopping,728,Card,Weekend
2025-11-01,Entertainment,428,Cash,Weekend
2025-11-02,Food,146,UPI,Weekend
2025-11-02,Travel,9,Card,Weekend
2025-11-02,Shopping,1758,UPI,Weekend
2025-11-02,Entertainment,678,UPI,Weekend
2025-11-03,Food,361,Card,Weekday
2025-11-03,Travel,20,Card,Weekday
2025-11-04,Food,225,Cash,Weekday
2025-11-04,Travel,45,UPI,Weekday
2025-11-05,Food,309,UPI,Weekday
2025-11-05,Travel,16,UPI,Weekday
2025-11-06,Food,233,Card,Weekday
2025-11-06,Travel,52,UPI,Weekday
2025-11-07,Food,121,UPI,Weekday
2025-11-07,Travel,69,Card,Weekday
2025-11-08,Food,243,Card,Weekend
2025-11-08,Travel,90,Cash,Weekend
